+----------+-------------+--------------------------------+-----------------------------------+
| Comments | ID          | Username                       | Full Name                         |
+----------+-------------+--------------------------------+-----------------------------------+
| 78       | 46841930209 | damjanovic6639                 | Dejan Damjanovic                  |
| 33       | 2201608381  | slip_knxt                      | Percy Slip 💊                      |
| 27       | 47124365659 | just1n_12_8uh6uh_nate          | Justin eden                       |
| 24       | 32965934751 | shashashashashashsha           | shasha                            |
| 19       | 39168305121 | pepsico_inc                    | PepsiCo_Inc                       |
| 18       | 42693629783 | dejansdoe                      | Dejan Damjanovic                  |
| 18       | 27768481529 | seewaldgregory                 | Gregory Seewald                   |
| 17       | 14571957758 | morganraehurst                 | morgan hurst                      |
| 16       | 33854240861 | mysterio46290                  | mysterio                          |
| 15       | 44105166486 | ahmed_saklawi                  | Ahmed Saklawi                     |
| 14       | 35592296057 | valentin.delgado.1088          | Valentin Delgado                  |
| 13       | 47181519111 | one.far.dreams.nomad.man       |                                   |
| 13       | 9848685605  | davethomas0120                 | dave  thomas                      |
| 12       | 48027439492 | zehnder__                      |                                   |
| 12       | 11631893008 | gvrdongordvn                   | Joel Jesus Solano                 |
| 11       | 18047686586 | the_one_and_only_fox0r         | Aaron Kyle Andresen               |
| 11       | 45922446980 | fusilo_fujoshisxddd            | re cago a piñas a fujoshis        |
| 11       | 47320703082 | amarildox_                     | AMARILDOXXX                       |
| 11       | 46907256692 | 7mentalthesimp                 |                                   |
| 11       | 49890468735 | anakiayh                       | anakiayh                          |
| 11       | 19858921413 | mcauley_h05                    |                                   |
| 10       | 8070102134  | sge_mute                       | Tyler Martin                      |
| 9        | 7350406354  | ruizjorgerios                  | chief-commander-727-G             |
| 9        | 31813625331 | rnonsterenergy                 |                                   |
| 9        | 45205049542 | multifoxer                     | MultiFoxer                        |
| 9        | 40012383545 | madrid3                        | Ángel Madrid                      |
| 9        | 45439663233 | godlboi                        | god|boi                           |
| 9        | 33887550332 | flatcatface                    |                                   |
| 9        | 3163994719  | chrissydorak                   | Chris Sydorak                     |
| 9        | 11127860636 | bilal_allly                    | Bilal Ally Sorah                  |
| 8        | 38965780006 | dixi_dvaier                    | Dixi Dvaier                       |
| 8        | 36035470977 | ericr.labelle                  | Eric R. Labelle                   |
| 8        | 5354413364  | fabianazmichel                 | Fabiana Michel                    |
| 8        | 13363082192 | kikoharrera33                  | kiko                              |
| 7        | 48660104961 | wows_o_o                       | Bro                               |
| 7        | 49115492156 | lol357822                      | Helo                              |
| 7        | 43826241086 | alexia.zozo                    | ♤                                 |
| 7        | 47192979558 | susasusasusas                  | no one😳                           |
| 7        | 33892291565 | salahjasy                      | Yasmin Salah                      |
| 7        | 37871140712 | its_sissy_chrissy              | Christen Ulyana Meeks             |
